section,run_id,player_id,deaths,deaths_by_spikes,deaths_by_enemy,deaths_by_fall,time_seconds,coins_missed,jumps,distance_to_boss_start,completed_boss,rating,comment
1,R001,P01,2,1,1,0,184,3,42,7.5,TRUE,3,spikes feel unfair in the narrow hall
1,R002,P02,0,0,0,0,121,0,28,7.5,TRUE,5,loved the double jump section
1,R003,P03,4,2,1,1,236,6,61,7.5,FALSE,2,too long between checkpoints
1,R004,P04,1,0,1,0,165,2,35,7.5,TRUE,4,boss phase 2 is chaos
2,R005,P01,1,1,0,0,172,4,47,9.1,TRUE,4,the ladder is confusing
2,R006,P05,0,0,0,0,133,1,30,9.1,TRUE,5,fluent - no notes
2,R007,P02,3,1,1,1,228,5,58,9.1,FALSE,3,fell in the pit with no way out
2,R008,P06,2,0,2,0,199,3,44,9.1,TRUE,3,enemy camp near the boots
3,R009,P03,2,2,0,0,210,7,52,6.4,TRUE,3,secret felt great but too hidden
3,R010,P06,1,0,0,1,157,2,39,6.4,TRUE,4,coyote time saved me twice
3,R011,P04,0,0,0,0,118,0,25,6.4,TRUE,5,smooth
3,R012,P07,5,1,2,2,271,8,73,6.4,FALSE,2,gave up at phase 3 of the gauntlet
3,R013,P08,3,3,0,0,244,6,66,6.4,FALSE,3,spike ceilings are brutal
3,R014,P07,1,0,0,1,148,2,33,6.4,TRUE,4,second run much better
4,R015,P08,2,0,1,1,196,4,49,8.8,TRUE,4,boss took me three tries
4,R016,P05,0,0,0,0,131,1,27,8.8,TRUE,5,tuned boss is fair now
4,R017,P01,1,1,0,0,163,2,36,8.8,TRUE,4,nice ramp
4,R018,P08,4,2,1,1,259,7,71,8.8,FALSE,2,minions plus volley is too much
4,R019,P06,2,1,1,0,203,3,45,8.8,TRUE,4,
4,R020,P02,1,0,1,0,171,2,38,8.8,TRUE,5,best fight in the game
5,R021,P03,0,0,0,0,124,0,26,10.2,TRUE,5,flow state
5,R022,P04,2,2,0,0,207,5,43,10.2,TRUE,3,ice tiles surprised me
5,R023,P05,1,0,0,1,158,3,34,10.2,TRUE,4,one softlock behind the waterfall
5,R024,P07,3,1,1,1,232,6,60,10.2,FALSE,3,rating after fix should improve
5,R025,P08,1,1,0,0,166,2,37,10.2,TRUE,4,
5,R026,P01,0,0,0,0,119,0,24,10.2,TRUE,5,clean run
6,R027,P02,2,0,2,0,188,3,41,11.5,TRUE,4,final climb is tense
6,R028,P03,1,0,1,0,175,2,40,11.5,TRUE,4,
6,R029,P04,3,1,1,1,241,5,57,11.5,FALSE,3,ran out of patience not health
6,R030,P05,1,0,0,1,154,1,31,11.5,TRUE,5,gorgeous cave
6,R031,P06,2,1,1,0,199,4,46,11.5,TRUE,4,
6,R032,P07,1,0,0,1,152,2,32,11.5,TRUE,4,beat it on the second try
